FD graph,TPR Sensitivity,TNR Specificity,PPV Precision,NPV Negative Precision
../../../jpg_file/Sparse/FR/n=200d=15.jpg,0.31645569620253167,0.9504132231404959,0.8064516129032258,0.6804733727810651
../../../jpg_file/Sparse/KK/n=200d=15.jpg,0.30303030303030304,0.9900990099009901,0.967741935483871,0.591715976331361
../../../jpg_file/Sparse/FA2/n=200d=15.jpg,0.226890756302521,0.9506172839506173,0.8709677419354839,0.4556213017751479
../../../jpg_file/Sparse/JIGGLE/n=200d=15.jpg,0.1712707182320442,1.0,1.0,0.11242603550295859
../../../jpg_file/Sparse/FR/n=500d=15_27276.jpg,0.19218241042345277,0.927461139896373,0.8082191780821918,0.41920374707259955
../../../jpg_file/Sparse/KK/n=500d=15_19102.jpg,0.19014084507042253,0.9120370370370371,0.7397260273972602,0.4613583138173302
../../../jpg_file/Sparse/FA2/n=500d=15_30366.jpg,0.17679558011049723,0.9347826086956522,0.8767123287671232,0.30210772833723654
../../../jpg_file/Sparse/JIGGLE/n=500d=15_30502.jpg,0.1723076923076923,0.9028571428571428,0.7671232876712328,0.3700234192037471
../../../jpg_file/Sparse/FR/n=1000d=15_8701.jpg,0.22608695652173913,0.9064516129032258,0.8432432432432433,0.34478527607361964
../../../jpg_file/Sparse/KK/n=1000d=15_5772.jpg,0.19903691813804172,0.8381962864721485,0.6702702702702703,0.38773006134969323
../../../jpg_file/Sparse/FA2/n=1000d=15_7274.jpg,0.19260204081632654,0.8425925925925926,0.8162162162162162,0.2233128834355828
../../../jpg_file/Sparse/JIGGLE/n=1000d=15_8258.jpg,0.22633136094674555,0.9012345679012346,0.827027027027027,0.35828220858895704
../../../jpg_file/Sparse/FR/n=2000d=15_1883.jpg,0.15114503816793892,0.9115942028985508,0.7644787644787645,0.36128661688684666
../../../jpg_file/Sparse/KK/n=2000d=15_983.jpg,0.2413793103448276,0.9229074889867841,0.5945945945945946,0.7219988512349225
../../../jpg_file/Sparse/FA2/n=2000d=15_1826.jpg,0.13886997957794417,0.896421845574388,0.7876447876447876,0.273406088454911
../../../jpg_file/Sparse/JIGGLE/n=2000d=15_991.jpg,0.1635434412265758,0.9188861985472155,0.7413127413127413,0.43595634692705343
../../../jpg_file/Sparse/FR/n=3000d=15_924.jpg,0.15576820839978733,0.8882931188561215,0.7009569377990431,0.3849728892331526
../../../jpg_file/Sparse/KK/n=3000d=15_600.jpg,0.40298507462686567,0.8938086303939963,0.3229665071770335,0.9225406661502711
../../../jpg_file/Sparse/FA2/n=3000d=15_874.jpg,0.1601289629231596,0.8946444249341527,0.7129186602870813,0.3946553059643687
../../../jpg_file/Sparse/JIGGLE/n=3000d=15_404.jpg,0.2055813953488372,0.8976623376623377,0.5287081339712919,0.6692486444616577
