ccl_grana_filename,ccl_grana_processing_time(ms),ccl_wu_processing_time(ms),findContours_processing_time(ms),ccl_grana < findContours,ccl_wu < findContours
..\ccl_data\jpg_files\Sparse\FR\n=1000d=8_9856.jpg,286965,161568,147709,,
..\ccl_data\jpg_files\Sparse\FR\n=2000d=10_1842.jpg,549897,724063,500537,,
..\ccl_data\jpg_files\Sparse\FR\n=2000d=12_1834.jpg,528251,736055,500710,,
..\ccl_data\jpg_files\Sparse\FR\n=2000d=15_1883.jpg,630825,734037,537472,,
..\ccl_data\jpg_files\Sparse\FR\n=2000d=6_2232.jpg,631789,765954,529757,,
..\ccl_data\jpg_files\Sparse\FR\n=2000d=8_1789.jpg,591552,773571,499634,,
..\ccl_data\jpg_files\Sparse\FR\n=3000d=10_812.jpg,1180860,1703191,1100053,,
..\ccl_data\jpg_files\Sparse\FR\n=3000d=12_864.jpg,1536889,1669500,1090217,,
..\ccl_data\jpg_files\Sparse\FR\n=3000d=15_924.jpg,1302077,1771350,1166903,,
..\ccl_data\jpg_files\Sparse\FR\n=3000d=6_832.jpg,1370362,1633244,1322273,,
..\ccl_data\jpg_files\Sparse\FR\n=3000d=8_1028.jpg,5445433,1616904,1419204,,
..\ccl_data\jpg_files\Sparse\FR\n=500d=10_36630.jpg,329545,97364,96740,,
..\ccl_data\jpg_files\Sparse\FR\n=500d=12_29798.jpg,119163,54510,97768,,1
..\ccl_data\jpg_files\Sparse\FR\n=500d=15_27276.jpg,186104,58444,71843,,1
..\ccl_data\jpg_files\Sparse\FR\n=500d=6_35995.jpg,1075158,62360,38895,,
..\ccl_data\jpg_files\Sparse\FR\n=500d=8_38402.jpg,129024,70218,68813,,
..\ccl_data\jpg_files\Sparse\FRR\n=1000d=10_8904.jpg,1143194,179924,137630,,
..\ccl_data\jpg_files\Sparse\FRR\n=1000d=12_8735.jpg,804897,170578,118682,,
..\ccl_data\jpg_files\Sparse\FRR\n=1000d=15_8778.jpg,193376,162544,129174,,
..\ccl_data\jpg_files\Sparse\FRR\n=1000d=6_8853.jpg,1839860,215188,168550,,
..\ccl_data\jpg_files\Sparse\FRR\n=1000d=8_8216.jpg,1090675,221649,177525,,
..\ccl_data\jpg_files\Sparse\FRR\n=2000d=10_1900.jpg,1037077,680210,613076,,
..\ccl_data\jpg_files\Sparse\FRR\n=2000d=12_1716.jpg,1631501,682253,492681,,
..\ccl_data\jpg_files\Sparse\FRR\n=2000d=15_1807.jpg,778599,677115,492682,,
..\ccl_data\jpg_files\Sparse\FRR\n=2000d=6_1923.jpg,2126542,701548,535109,,
..\ccl_data\jpg_files\Sparse\FRR\n=2000d=8_1972.jpg,3064938,712353,459837,,
..\ccl_data\jpg_files\Sparse\FRR\n=3000d=10_837.jpg,4707873,1536652,905732,,
..\ccl_data\jpg_files\Sparse\FRR\n=3000d=12_959.jpg,4980739,1714857,954142,,
..\ccl_data\jpg_files\Sparse\FRR\n=3000d=15_832.jpg,6335763,1583129,837039,,
..\ccl_data\jpg_files\Sparse\FRR\n=3000d=6_926.jpg,2942615,1746103,1333641,,
..\ccl_data\jpg_files\Sparse\FRR\n=3000d=8_897.jpg,2265671,1691437,1106042,,
..\ccl_data\jpg_files\Sparse\FRR\n=500d=10_36769.jpg,58097,84328,94745,1,1
..\ccl_data\jpg_files\Sparse\FRR\n=500d=12_36906.jpg,41015,48851,80785,1,1
..\ccl_data\jpg_files\Sparse\FRR\n=500d=15_34093.jpg,51864,46674,53855,1,1
..\ccl_data\jpg_files\Sparse\FRR\n=500d=6_34660.jpg,156419,55285,110704,,1
..\ccl_data\jpg_files\Sparse\FRR\n=500d=8_40735.jpg,245069,69575,69813,,1
..\ccl_data\jpg_files\Sparse\FRU\n=1000d=10_7855.jpg,171383,205357,182541,1,
..\ccl_data\jpg_files\Sparse\FRU\n=1000d=12_8079.jpg,145802,189482,163562,1,
..\ccl_data\jpg_files\Sparse\FRU\n=1000d=15_7845.jpg,303432,169428,146607,,
..\ccl_data\jpg_files\Sparse\FRU\n=1000d=6_7910.jpg,147698,213504,188525,1,
..\ccl_data\jpg_files\Sparse\FRU\n=1000d=8_7551.jpg,159686,221465,194509,1,
..\ccl_data\jpg_files\Sparse\FRU\n=2000d=10_1996.jpg,646007,722107,566486,,
..\ccl_data\jpg_files\Sparse\FRU\n=2000d=12_1992.jpg,536363,772902,404946,,
..\ccl_data\jpg_files\Sparse\FRU\n=2000d=15_1813.jpg,505708,771686,482654,,
..\ccl_data\jpg_files\Sparse\FRU\n=2000d=6_1958.jpg,559550,706894,444475,,
..\ccl_data\jpg_files\Sparse\FRU\n=2000d=8_2007.jpg,522755,782324,428594,,
..\ccl_data\jpg_files\Sparse\FRU\n=3000d=10_894.jpg,1202640,1523657,1187830,,
..\ccl_data\jpg_files\Sparse\FRU\n=3000d=12_841.jpg,1146766,1500032,996611,,
..\ccl_data\jpg_files\Sparse\FRU\n=3000d=15_754.jpg,1183016,1585823,1030844,,
..\ccl_data\jpg_files\Sparse\FRU\n=3000d=6_916.jpg,1127676,1827269,982454,,
..\ccl_data\jpg_files\Sparse\FRU\n=3000d=8_863.jpg,1190839,1678771,1040544,,
..\ccl_data\jpg_files\Sparse\FRU\n=500d=10_35884.jpg,67141,77773,104573,1,1
..\ccl_data\jpg_files\Sparse\FRU\n=500d=12_24833.jpg,104459,48070,43886,,
..\ccl_data\jpg_files\Sparse\FRU\n=500d=15_31055.jpg,54851,77221,44851,,
..\ccl_data\jpg_files\Sparse\FRU\n=500d=6_36711.jpg,49019,43143,51958,1,1
..\ccl_data\jpg_files\Sparse\FRU\n=500d=8_35908.jpg,64906,58577,63868,,1
..\ccl_data\jpg_files\Sparse\JIGGLE\n=1000d=10_8934.jpg,171750,195885,144628,,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=1000d=12_8290.jpg,228485,208442,138689,,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=1000d=15_8258.jpg,221703,179425,122150,,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=1000d=6_8449.jpg,145645,170412,102725,,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=1000d=8_7034.jpg,258850,192987,147943,,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=2000d=10_1038.jpg,514833,714859,428988,,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=2000d=12_919.jpg,533583,764713,482299,,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=2000d=15_991.jpg,606615,781618,534737,,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=2000d=6_957.jpg,514699,766847,422424,,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=2000d=8_959.jpg,567572,800595,460910,,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=3000d=10_359.jpg,1220144,1794633,1340832,1,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=3000d=12_398.jpg,1612917,1663643,1367579,,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=3000d=15_404.jpg,1614495,1789969,1276155,,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=3000d=6_372.jpg,1332408,1859025,1338792,1,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=3000d=8_344.jpg,1239098,1796013,1384684,1,
..\ccl_data\jpg_files\Sparse\JIGGLE\n=500d=10_23174.jpg,81056,80365,86602,1,1
..\ccl_data\jpg_files\Sparse\JIGGLE\n=500d=12_34581.jpg,91035,50951,53993,,1
..\ccl_data\jpg_files\Sparse\JIGGLE\n=500d=15_30502.jpg,49392,48874,54855,1,1
..\ccl_data\jpg_files\Sparse\JIGGLE\n=500d=6_28183.jpg,57274,52947,65606,1,1
..\ccl_data\jpg_files\Sparse\JIGGLE\n=500d=8_35845.jpg,51136,50636,41969,,
..\ccl_data\jpg_files\Sparse\KK\n=1000d=10_5199.jpg,156733,222673,147862,,
..\ccl_data\jpg_files\Sparse\KK\n=1000d=12_4619.jpg,141001,213897,154592,1,
..\ccl_data\jpg_files\Sparse\KK\n=1000d=15_5772.jpg,235474,172549,160824,,
..\ccl_data\jpg_files\Sparse\KK\n=1000d=6_5157.jpg,161875,190060,129882,,
..\ccl_data\jpg_files\Sparse\KK\n=1000d=8_4794.jpg,146625,202663,129954,,
..\ccl_data\jpg_files\Sparse\KK\n=2000d=10_1159.jpg,509914,761681,483958,,
