ccl_grana_filename,ccl_grana_processing_time(ms),ccl_wu_processing_time(ms),findContours_processing_time(ms),ccl_grana < findContours,ccl_wu < findContours
..\ccl_data\jpg_files\Uniform\FR\n=3000d=10_887.jpg,1542449,1904516,1380341,,
..\ccl_data\jpg_files\Uniform\FR\n=3000d=12_982.jpg,1246036,1830581,1207072,,
..\ccl_data\jpg_files\Uniform\FR\n=3000d=15_810.jpg,1275588,2531201,1236810,,
..\ccl_data\jpg_files\Uniform\FR\n=3000d=6_1070.jpg,1596068,3321084,1391696,,
..\ccl_data\jpg_files\Uniform\FR\n=3000d=8_790.jpg,1381321,3298504,1394951,1,
..\ccl_data\jpg_files\Uniform\FR\n=500d=10_30312.jpg,92059,166589,109722,1,
..\ccl_data\jpg_files\Uniform\FR\n=500d=12_29450.jpg,53183,128223,78183,1,
..\ccl_data\jpg_files\Uniform\FR\n=500d=15_28800.jpg,57134,132466,40066,,
..\ccl_data\jpg_files\Uniform\FR\n=500d=6_38981.jpg,139123,162136,54853,,
..\ccl_data\jpg_files\Uniform\FR\n=500d=8_41722.jpg,68831,129576,45582,,
..\ccl_data\jpg_files\Uniform\FRR\n=1000d=10_8229.jpg,112748,276259,104823,,
..\ccl_data\jpg_files\Uniform\FRR\n=1000d=12_9254.jpg,95187,334174,111791,1,
..\ccl_data\jpg_files\Uniform\FRR\n=1000d=15_8451.jpg,111909,249854,103762,,
..\ccl_data\jpg_files\Uniform\FRR\n=1000d=6_8924.jpg,282600,375027,143080,,
..\ccl_data\jpg_files\Uniform\FRR\n=1000d=8_7947.jpg,110897,389177,118747,1,
..\ccl_data\jpg_files\Uniform\FRR\n=2000d=10_2056.jpg,392705,1118305,411972,1,
..\ccl_data\jpg_files\Uniform\FRR\n=2000d=12_1759.jpg,364027,1164248,392280,1,
..\ccl_data\jpg_files\Uniform\FRR\n=2000d=15_2052.jpg,439777,1252291,362464,,
..\ccl_data\jpg_files\Uniform\FRR\n=2000d=6_1781.jpg,438910,1409934,530071,1,
..\ccl_data\jpg_files\Uniform\FRR\n=2000d=8_1837.jpg,407015,1213643,444303,1,
..\ccl_data\jpg_files\Uniform\FRR\n=3000d=10_811.jpg,994576,2807701,941548,,
..\ccl_data\jpg_files\Uniform\FRR\n=3000d=12_808.jpg,772352,2621888,959635,1,
..\ccl_data\jpg_files\Uniform\FRR\n=3000d=15_888.jpg,765496,2620924,849513,1,
..\ccl_data\jpg_files\Uniform\FRR\n=3000d=6_924.jpg,982283,3021677,1222149,1,
..\ccl_data\jpg_files\Uniform\FRR\n=3000d=8_850.jpg,867003,2697062,1017308,1,
..\ccl_data\jpg_files\Uniform\FRR\n=500d=10_35977.jpg,45882,111954,91786,1,
..\ccl_data\jpg_files\Uniform\FRR\n=500d=12_36571.jpg,38928,109747,49896,1,
..\ccl_data\jpg_files\Uniform\FRR\n=500d=15_33906.jpg,75097,104719,43882,,
..\ccl_data\jpg_files\Uniform\FRR\n=500d=6_34486.jpg,40014,93749,35934,,
..\ccl_data\jpg_files\Uniform\FRR\n=500d=8_35324.jpg,32204,96740,57843,1,
..\ccl_data\jpg_files\Uniform\FRU\n=1000d=10_7559.jpg,149630,432930,120651,,
..\ccl_data\jpg_files\Uniform\FRU\n=1000d=12_7881.jpg,173921,475328,165552,,
..\ccl_data\jpg_files\Uniform\FRU\n=1000d=15_7580.jpg,131744,363036,171559,1,
..\ccl_data\jpg_files\Uniform\FRU\n=1000d=6_8263.jpg,192757,458567,207407,1,
..\ccl_data\jpg_files\Uniform\FRU\n=1000d=8_7756.jpg,166553,332773,154867,,
..\ccl_data\jpg_files\Uniform\FRU\n=2000d=10_1739.jpg,575578,1268374,500755,,
..\ccl_data\jpg_files\Uniform\FRU\n=2000d=12_1914.jpg,479803,1078809,447435,,
..\ccl_data\jpg_files\Uniform\FRU\n=2000d=15_1746.jpg,591005,786449,605125,1,
..\ccl_data\jpg_files\Uniform\FRU\n=2000d=6_1892.jpg,538625,779233,589092,1,
..\ccl_data\jpg_files\Uniform\FRU\n=2000d=8_1881.jpg,588793,819218,500690,,
..\ccl_data\jpg_files\Uniform\FRU\n=3000d=10_853.jpg,1515117,1967116,1537912,1,
..\ccl_data\jpg_files\Uniform\FRU\n=3000d=12_859.jpg,1363878,1880495,1301486,,
..\ccl_data\jpg_files\Uniform\FRU\n=3000d=15_858.jpg,1193094,1732494,1315481,1,
..\ccl_data\jpg_files\Uniform\FRU\n=3000d=6_932.jpg,1388022,2048944,1243674,,
..\ccl_data\jpg_files\Uniform\FRU\n=3000d=8_931.jpg,1253542,1578004,1098525,,
..\ccl_data\jpg_files\Uniform\FRU\n=500d=10_24825.jpg,81341,62480,143995,1,1
..\ccl_data\jpg_files\Uniform\FRU\n=500d=12_25347.jpg,49889,46898,50985,1,1
..\ccl_data\jpg_files\Uniform\FRU\n=500d=15_19464.jpg,50107,62483,71808,1,1
..\ccl_data\jpg_files\Uniform\FRU\n=500d=6_25872.jpg,64257,78073,65981,1,
..\ccl_data\jpg_files\Uniform\FRU\n=500d=8_18064.jpg,125278,93720,67827,,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=1000d=10_7103.jpg,187837,218699,189739,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=1000d=12_6996.jpg,152597,216548,175706,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=1000d=15_5939.jpg,134615,218697,149600,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=1000d=6_5413.jpg,167726,218729,180738,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=1000d=8_6577.jpg,196857,281518,274413,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=2000d=10_851.jpg,549883,809971,545501,,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=2000d=12_799.jpg,537913,827414,504875,,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=2000d=15_806.jpg,548628,813759,604395,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=2000d=6_748.jpg,804644,893964,597796,,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=2000d=8_710.jpg,621795,920736,849726,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=3000d=10_332.jpg,1197168,1891163,1692474,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=3000d=12_269.jpg,1029474,1614339,1132408,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=3000d=15_324.jpg,1057883,1651923,1088129,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=3000d=6_273.jpg,1459816,1774468,1469330,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=3000d=8_312.jpg,1205839,1763287,1331215,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=500d=10_19264.jpg,94804,81696,102917,1,1
..\ccl_data\jpg_files\Uniform\JIGGLE\n=500d=12_21750.jpg,74969,63134,45137,,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=500d=15_27935.jpg,52178,62497,58173,1,
..\ccl_data\jpg_files\Uniform\JIGGLE\n=500d=6_23525.jpg,51010,62484,68846,1,1
..\ccl_data\jpg_files\Uniform\JIGGLE\n=500d=8_19877.jpg,74286,46835,45848,,
..\ccl_data\jpg_files\Uniform\KK\n=1000d=10_5869.jpg,300891,249946,203810,,
..\ccl_data\jpg_files\Uniform\KK\n=1000d=12_5064.jpg,202959,203079,172574,,
..\ccl_data\jpg_files\Uniform\KK\n=1000d=15_5323.jpg,152624,190048,198927,1,1
..\ccl_data\jpg_files\Uniform\KK\n=1000d=6_6365.jpg,232595,218668,206609,,
..\ccl_data\jpg_files\Uniform\KK\n=1000d=8_4475.jpg,181814,234352,167643,,
..\ccl_data\jpg_files\Uniform\KK\n=2000d=10_1143.jpg,499704,840890,483931,,
..\ccl_data\jpg_files\Uniform\KK\n=2000d=12_955.jpg,510898,743217,494263,,
..\ccl_data\jpg_files\Uniform\KK\n=2000d=15_1006.jpg,567777,749549,504650,,
..\ccl_data\jpg_files\Uniform\KK\n=2000d=6_1185.jpg,561532,810624,557059,,
..\ccl_data\jpg_files\Uniform\KK\n=2000d=8_1050.jpg,542983,794844,521803,,
..\ccl_data\jpg_files\Uniform\KK\n=3000d=10_558.jpg,1047465,1613141,1036413,,
..\ccl_data\jpg_files\Uniform\KK\n=3000d=12_498.jpg,1223314,1591164,1054675,,
..\ccl_data\jpg_files\Uniform\KK\n=3000d=15_469.jpg,855887,1561595,968727,1,
..\ccl_data\jpg_files\Uniform\KK\n=3000d=6_547.jpg,1041323,1748658,1182482,1,
..\ccl_data\jpg_files\Uniform\KK\n=3000d=8_591.jpg,970866,1672168,1340036,1,
..\ccl_data\jpg_files\Uniform\KK\n=500d=10_20286.jpg,98055,62502,80785,,1
..\ccl_data\jpg_files\Uniform\KK\n=500d=12_21114.jpg,72152,77775,59839,,
..\ccl_data\jpg_files\Uniform\KK\n=500d=15_21255.jpg,46872,49743,75797,1,1
..\ccl_data\jpg_files\Uniform\KK\n=500d=6_31480.jpg,68841,109378,61859,,
..\ccl_data\jpg_files\Uniform\KK\n=500d=8_29416.jpg,67818,78136,54850,,
..\ccl_data\jpg_files\Uniform\KK_W\n=1000d=10_1304.jpg,177920,281155,243349,1,
..\ccl_data\jpg_files\Uniform\KK_W\n=1000d=12_1257.jpg,195910,243006,219437,1,
..\ccl_data\jpg_files\Uniform\KK_W\n=1000d=15_1089.jpg,185790,218726,214426,1,
..\ccl_data\jpg_files\Uniform\KK_W\n=1000d=6_1722.jpg,194805,218696,187499,,
..\ccl_data\jpg_files\Uniform\KK_W\n=1000d=8_1647.jpg,180691,218700,164558,,
..\ccl_data\jpg_files\Uniform\KK_W\n=2000d=10_539.jpg,773862,934232,761957,,
..\ccl_data\jpg_files\Uniform\KK_W\n=2000d=12_495.jpg,717491,952421,765847,1,
..\ccl_data\jpg_files\Uniform\KK_W\n=2000d=15_413.jpg,622468,858196,712930,1,
..\ccl_data\jpg_files\Uniform\KK_W\n=2000d=6_618.jpg,856118,888380,663108,,
..\ccl_data\jpg_files\Uniform\KK_W\n=2000d=8_526.jpg,684616,997393,703083,1,
..\ccl_data\jpg_files\Uniform\KK_W\n=3000d=10_288.jpg,1803093,2049709,1489152,,
..\ccl_data\jpg_files\Uniform\KK_W\n=3000d=12_259.jpg,1519887,1967788,1442032,,
..\ccl_data\jpg_files\Uniform\KK_W\n=3000d=15_238.jpg,1506724,1955712,1714350,1,
..\ccl_data\jpg_files\Uniform\KK_W\n=3000d=6_319.jpg,1410042,1809596,1305523,,
..\ccl_data\jpg_files\Uniform\KK_W\n=3000d=8_349.jpg,1423467,1918330,1372749,,
..\ccl_data\jpg_files\Uniform\KK_W\n=500d=10_3626.jpg,57891,78105,97738,1,1
..\ccl_data\jpg_files\Uniform\KK_W\n=500d=12_3144.jpg,59133,78074,50907,,
..\ccl_data\jpg_files\Uniform\KK_W\n=500d=15_2858.jpg,51102,62493,32912,,
..\ccl_data\jpg_files\Uniform\KK_W\n=500d=6_4769.jpg,66182,62455,85835,1,1
..\ccl_data\jpg_files\Uniform\KK_W\n=500d=8_3943.jpg,74373,62485,72874,,1
..\ccl_data\jpg_files\Uniform\LINLOG\n=1000d=10_7836.jpg,124102,156217,82775,,
..\ccl_data\jpg_files\Uniform\LINLOG\n=1000d=12_7526.jpg,104747,154482,146952,1,
..\ccl_data\jpg_files\Uniform\LINLOG\n=1000d=15_6578.jpg,110816,171834,93749,,
..\ccl_data\jpg_files\Uniform\LINLOG\n=1000d=6_8982.jpg,107834,140559,110936,1,
..\ccl_data\jpg_files\Uniform\LINLOG\n=1000d=8_8738.jpg,125132,140584,100769,,
..\ccl_data\jpg_files\Uniform\LINLOG\n=2000d=10_3645.jpg,391554,642499,443395,1,
..\ccl_data\jpg_files\Uniform\LINLOG\n=2000d=12_2985.jpg,363200,591888,399106,1,
..\ccl_data\jpg_files\Uniform\LINLOG\n=2000d=15_2947.jpg,373189,640663,324133,,
..\ccl_data\jpg_files\Uniform\LINLOG\n=2000d=6_3980.jpg,431862,671951,365236,,
..\ccl_data\jpg_files\Uniform\LINLOG\n=2000d=8_3724.jpg,382076,687366,370307,,
..\ccl_data\jpg_files\Uniform\LINLOG\n=3000d=10_2105.jpg,940526,1501482,785936,,
..\ccl_data\jpg_files\Uniform\LINLOG\n=3000d=12_1983.jpg,965694,1435571,857254,,
..\ccl_data\jpg_files\Uniform\LINLOG\n=3000d=15_1909.jpg,929552,1477782,788219,,
..\ccl_data\jpg_files\Uniform\LINLOG\n=3000d=6_2186.jpg,909838,1470825,960449,1,
..\ccl_data\jpg_files\Uniform\LINLOG\n=3000d=8_2362.jpg,883086,1594368,1285560,1,
..\ccl_data\jpg_files\Uniform\LINLOG\n=500d=10_16556.jpg,57844,46864,77792,1,1
..\ccl_data\jpg_files\Uniform\LINLOG\n=500d=12_18338.jpg,68816,46864,129652,1,1
..\ccl_data\jpg_files\Uniform\LINLOG\n=500d=15_15274.jpg,57844,46860,41890,,
..\ccl_data\jpg_files\Uniform\LINLOG\n=500d=6_17663.jpg,40891,46835,36903,,
..\ccl_data\jpg_files\Uniform\LINLOG\n=500d=8_19938.jpg,45877,31241,49866,1,1
