FD graph,TPR Sensitivity,TNR Specificity,PPV Precision,NPV Negative Precision
../../../jpg_file/Sparse/FR/n=500d=6_35995.jpg,0.6852678571428571,0.11538461538461539,0.8696883852691218,0.04081632653061224
../../../jpg_file/Sparse/KK/n=500d=6_29163.jpg,0.7027649769585254,0.2727272727272727,0.8640226628895185,0.12244897959183673
../../../jpg_file/Sparse/FA2/n=500d=6_32813.jpg,0.7149122807017544,0.38636363636363635,0.9235127478753541,0.11564625850340136
../../../jpg_file/Sparse/JIGGLE/n=500d=6_28183.jpg,0.7108695652173913,0.35,0.9263456090651558,0.09523809523809523
../../../jpg_file/Sparse/FR/n=1000d=6_9596.jpg,0.6972586412395709,0.2857142857142857,0.8357142857142857,0.15333333333333332
../../../jpg_file/Sparse/KK/n=1000d=6_5157.jpg,0.6866028708133971,0.23170731707317074,0.82,0.12666666666666668
../../../jpg_file/Sparse/FA2/n=1000d=6_7470.jpg,0.6985698569856986,0.2857142857142857,0.9071428571428571,0.08666666666666667
../../../jpg_file/Sparse/JIGGLE/n=1000d=6_8449.jpg,0.7063829787234043,0.4,0.9485714285714286,0.08
../../../jpg_file/Sparse/FR/n=2000d=6_2232.jpg,0.6895284751990202,0.27520435967302453,0.8089080459770115,0.16611842105263158
../../../jpg_file/Sparse/KK/n=2000d=6_1278.jpg,0.7115858668857847,0.3282247765006386,0.6221264367816092,0.42269736842105265
../../../jpg_file/Sparse/FA2/n=2000d=6_1799.jpg,0.7006678809957498,0.32577903682719545,0.8290229885057471,0.18914473684210525
../../../jpg_file/Sparse/JIGGLE/n=2000d=6_957.jpg,0.6993795826283136,0.3303964757709251,0.8908045977011494,0.12335526315789473
../../../jpg_file/Sparse/FR/n=3000d=6_832.jpg,0.7100293747377255,0.26580226904376014,0.7888111888111888,0.19181286549707602
../../../jpg_file/Sparse/KK/n=3000d=6_538.jpg,0.7780487804878049,0.29498069498069496,0.14871794871794872,0.8935672514619883
../../../jpg_file/Sparse/FA2/n=3000d=6_928.jpg,0.7228135122628413,0.30512514898688914,0.7282051282051282,0.2994152046783626
../../../jpg_file/Sparse/JIGGLE/n=3000d=6_372.jpg,0.7212698412698413,0.2919298245614035,0.5296037296037296,0.4865497076023392
